name,category,website,instagram_handle,verification_url,status
Marketing Mind,India publisher,https://marketingmind.in/,marketingmind.in,https://linktr.ee/marketing.mind,verified
Mad Over Marketing,India publisher,https://mad-over-marketing.com/,madovermarketing_mom,https://mad-over-marketing.com/contact-us/,verified
Social Samosa,India publisher,https://www.socialsamosa.com/,officialsocialsamosa,https://www.socialsamosa.com/,verified
afaqs!,India publisher,https://www.afaqs.com/,afaqsdotcom,https://www.afaqs.com/,verified
Campaign India,India publisher,https://www.campaignindia.in/,campaignindiaofficial,https://www.campaignindia.in/,verified
Exchange4media,India publisher,https://www.exchange4media.com/,exchange4media,https://www.exchange4media.com/,verified
ET Brand Equity,India publisher,https://brandequity.economictimes.indiatimes.com/,etbrandequity,https://brandequity.economictimes.indiatimes.com/tag/etbrandequity,verified
Storyboard18,India publisher,https://www.storyboard18.com/,brandstoryboard,https://www.storyboard18.com/,verified
MediaBrief,India publisher,https://mediabrief.com/,,,candidate
Social Ketchup,India publisher,https://www.socialketchup.in/,socialketchup,https://www.socialketchup.in/,verified
BuzzInContent,India publisher,https://www.buzzincontent.com/,buzzincontent,https://www.buzzincontent.com/,verified
IMPACT,India publisher,https://www.impactonnet.com/,,,candidate
Indian Television,India publisher,https://www.indiantelevision.com/,,,candidate
Adgully,India publisher,https://www.adgully.com/,,,candidate
MARKETECH APAC,India publisher,https://marketech-apac.com/,,,candidate
Adweek,Global publisher,https://www.adweek.com/,adweek,https://www.adweek.com/,verified
Ad Age,Global publisher,https://adage.com/,,,candidate
The Drum,Global publisher,https://www.thedrum.com/,,,candidate
Marketing Dive,Global publisher,https://www.marketingdive.com/,,,candidate
Campaign UK,Global publisher,https://www.campaignlive.co.uk/,,,candidate
Little Black Book,Global publisher,https://www.lbbonline.com/,lbbonline,https://www.lbbonline.com/,verified
Ads of the World,Global publisher,https://www.adsoftheworld.com/,,,candidate
Creative Review,Global publisher,https://www.creativereview.co.uk/,creativereview,https://www.creativereview.co.uk/,verified
Design Week,Global publisher,https://www.designweek.co.uk/,designweekmag,https://www.designweek.co.uk/,verified
Brandingmag,Global publisher,https://www.brandingmag.com/,branding.mag,https://www.brandingmag.com/,verified
WARC,Global publisher,https://www.warc.com/,makeitwarc,https://www.warc.com/,verified
Contagious,Global publisher,https://www.contagious.com/,contagious,https://www.contagious.com/,verified
Fast Company,Global publisher,https://www.fastcompany.com/,,,candidate
Marketing Week,Global publisher,https://www.marketingweek.com/,marketingweeked,https://www.marketingweek.com/,verified
Cannes Lions,Global publisher,https://www.canneslions.com/,cannes_lions,https://www.canneslions.com/,verified
Talented,India agency,https://www.talented.agency/,,,candidate
Ogilvy India,India agency,https://www.ogilvy.com/,,,candidate
Leo Burnett India,India agency,https://www.leoburnett.com/,,,candidate
DDB Mudra Group,India agency,https://www.ddbmudragroup.com/,,,candidate
FCB India,India agency,https://www.fcb.com/,,,candidate
McCann India,India agency,https://www.mccannworldgroup.com/,,,candidate
VML India,India agency,https://www.vml.com/,,,candidate
Schbang,India agency,https://www.schbang.com/,schbang,https://www.schbang.com/post/month-in-a-nutshell,verified
WATConsult,India agency,https://www.watconsult.com/,watconsult,https://www.watconsult.com/,verified
Famous Innovations,India agency,https://www.famous.in/,,,candidate
The Glitch,India agency,https://www.theglitch.in/,,,candidate
TBWA India,India agency,https://www.tbwa.com/,,,candidate
BBDO India,India agency,https://www.bbdo.com/,,,candidate
Dentsu Creative India,India agency,https://www.dentsu.com/,,,candidate
Creativeland Asia,India agency,https://www.creativelandasia.com/,creativelandasia,https://www.creativelandasia.com/,verified
Wieden+Kennedy,Global agency,https://www.wk.com/,wiedenkennedy,https://www.wk.com/,verified
Droga5,Global agency,https://droga5.com/,,,candidate
72andSunny,Global agency,https://www.72andsunny.com/,,,candidate
Mother,Global agency,https://www.motherlondon.com/,motherlondon,https://www.motherlondon.com/,verified
Anomaly,Global agency,https://anomaly.com/,,,candidate
Landor,Global agency,https://landor.com/,,,candidate
Pentagram,Global agency,https://www.pentagram.com/,,,candidate
Wolff Olins,Global agency,https://www.wolffolins.com/,wolffolins,https://www.wolffolins.com/,verified
Koto,Global agency,https://koto.studio/,studiokoto,https://koto.studio/,verified
Collins,Global agency,https://www.wearecollins.com/,thisiscollins,https://www.wearecollins.com/,verified
DesignStudio,Global agency,https://design.studio/,,,candidate
BUCK,Global agency,https://buck.co/,buck_design,https://buck.co/,verified
AKQA,Global agency,https://www.akqa.com/,akqa,https://www.akqa.com/,verified
R/GA,Global agency,https://www.rga.com/,rgabydesign,https://www.rga.com/,verified
Jones Knowles Ritchie,Global agency,https://jkrglobal.com/,jkrglobal,https://jkrglobal.com/,verified
Zomato,Brand,https://www.zomato.com/,zomato,https://www.zomato.com/,verified
Swiggy,Brand,https://www.swiggy.com/,,,candidate
Blinkit,Brand,https://blinkit.com/,,,candidate
Zepto,Brand,https://www.zeptonow.com/,,,candidate
Amul,Brand,https://amul.com/,,,candidate
CRED,Brand,https://cred.club/,,,candidate
Fevicol,Brand,https://www.fevicol.com/,,,candidate
boAt,Brand,https://www.boat-lifestyle.com/,,,candidate
Asian Paints,Brand,https://www.asianpaints.com/,asianpaints,https://www.asianpaints.com/,verified
Cadbury Dairy Milk India,Brand,https://www.cadbury.co.in/,,,candidate
Britannia,Brand,https://www.britannia.co.in/,,,candidate
Paper Boat,Brand,https://paperboatdrinks.com/,paperboatdrinks,https://paperboatdrinks.com/,verified
Tata Tea,Brand,https://www.tataconsumer.com/,,,candidate
Tanishq,Brand,https://www.tanishq.co.in/,,,candidate
Titan,Brand,https://www.titan.co.in/,,,candidate
Nescafe India,Brand,https://www.nescafe.com/in/,nescafeindia,https://www.nescafe.com/in/,verified
Maggi India,Brand,https://www.maggi.in/,maggiindia,https://www.maggi.in/,verified
Lenskart,Brand,https://www.lenskart.com/,,,candidate
Nykaa,Brand,https://www.nykaa.com/,,,candidate
Myntra,Brand,https://www.myntra.com/,,,candidate
Flipkart,Brand,https://www.flipkart.com/,,,candidate
Amazon India,Brand,https://www.amazon.in/,,,candidate
IKEA India,Brand,https://www.ikea.com/in/en/,,,candidate
Netflix India,Brand,https://www.netflix.com/in/,,,candidate
Spotify India,Brand,https://www.spotify.com/in-en/,,,candidate
Samsung India,Brand,https://www.samsung.com/in/,samsungindia,https://www.samsung.com/in/offer/online/mobile-phones-tnc1/,verified
Nike India,Brand,https://www.nike.com/in/,,,candidate
Adidas India,Brand,https://www.adidas.co.in/,,,candidate
Burger King India,Brand,https://www.burgerking.in/,,,candidate
